0,pdf417
1,sgm-plugin-barcode
2,ot-aztec-extract
3,barcode-from-binary
4,barcode-knight-hacks-cheat-tool
5,datamatrix-decode
6,uic-918-3
7,angular-io-barcode
8,react-native-barcode-pdf417
9,barcode-bars-to-binary
10,@types/barcode
11,barcode-scan-listener
12,swipetrack-barcode-scan-listener
13,react-native-qr-barcode
14,@jakedchampion/zxing
15,vue-barcode-es5
16,@xkeshi/vue-barcode
17,boardingbarcode
18,angular-barcode-listener
19,barcode-bakery-1d
20,ngx-barcode
21,react-native-ksi-barcode
22,vue-barcode
23,fixed-mount-barcode-scanner
24,hibc-parser
25,cordova-barcode-generator
26,rn-barcode-scanner
27,@ryancavanaugh/barcode
28,kxing
29,react-native-barcode-qrcode
30,react-native-barcode-builder
31,barcode
32,wxbarcode
33,react-code39svg
34,react-native-simple-camera
35,react-native-dbr
36,zxing
37,barcode-detector-polyfill
38,bwip-js
39,vue-barcode-scanner
40,fv
41,nfv
42,react-barcode
43,react-native-barcode-android
44,io-barcode
45,gs1-parser
46,react-native-barcode-scanner-google
47,angular2-pdf417-barcode
48,react-native-uking-qrcode
49,dryrain-barcode-scan-listener
50,tabris-plugin-barcode-scanner
51,bwip-angular2
52,@myfave/react-native-barcode-scanner-google
53,rn-qrcode-scanner-google
54,image-to-text
55,cloudmersive-barcodeapi-client
56,billify
57,2of5-interleaved-encoder
58,gtin
59,react-native-smart-barcode-new
60,panasonic-bar-code-scanner
61,asposebarcodecloud
62,react-native-smart-barcode
63,@nois/react-native-smart-barcode
64,usb-barcode-transform
65,react-native-barcode
66,ember-cli-barcode
67,react-native-smart-barcode-nevo
68,react-native-smart-barcode-m
69,react-native-smart-barcode-cy
70,kendo-ui-react-jquery-barcode
71,react-native-barcode-scanner-universal
72,react-pdf417
73,cordova-plugin-flash-wintec-printer
74,cclz-barcode
75,barcode-generator
76,storybook-qr
77,qrstuv
78,xml-escpos
79,angular-barcode-febraban
80,js-barcode
81,escpos-xml
82,barcode-convert-number
83,pdf-dicer
84,zxing-typescript
85,ngx-barcode-input
86,rescode
87,ng-barcode
88,@f/extract-opengraph
89,barcode-bakery-common
90,com.rvaneijnatten.scanditsdk.plugin
91,barcode-reader
92,dbr
93,parse-usdl
94,red-agate
95,barcode-reader-
96,angular-barcode-example
97,angular-barcode-scanner
98,manatee
99,cryptostache
100,barcodemin
101,nativescript-zxing
102,pure-svg-code
103,glamor-plugin-extract-to-comment
104,pdf417-generator
105,esc-pos-encoder
106,tualo-barcode
107,barcode-binary-is-valid
108,bytescout
109,angular-barcode
110,swf-image-extractor
111,barcodejs
112,barcode-js
113,react-native-barcodescanner-slim
114,functional-extract
115,video-extract
116,cordova-plugin-pdf417
117,node-barcode-generator
118,pdf417-cordova
119,cordova-plugin-laser-scanner
120,barcode-renderer-svg
121,barc
122,cordova-plugin-caribe-laser-barcode-scanner
123,@steampunkprof/node-red-contrib-barcode-scanner
124,barcode-get-binary-sections
125,zbar
126,cordova-plugin-datecs-printer-qr
127,rax-barcode
128,base64mime
129,react-native-camera-configurable
130,motorola-datawedge-cordova-plugin
131,cordova-plugin-barcode-scanner2
132,impressive
133,react-native-uking-fast-image
134,motorola-datawedge
135,atid-barcode-rfid
136,qrcode-hackday
137,cordova-plugin-scanbot-sdk
138,shape-detection
139,yh_rncamera
140,extract-image-props-from-html-string
141,cordova-plugin-ios-simple-scanner
142,yn-react-native-camera
143,@nitrog7/react-native-camera
144,nicolaslopezj-react-native-camera
145,markdown-it-mdi
146,barcode-pdfkit
147,extract-image-webpack-plugin
148,react-native-barcodescanner
149,qrcode-canvas
150,violet2png
151,quagga
152,barcode-fixer
153,barcode-2-svg
154,cordova-plugin-honeywell-captuvo
155,cordova-plugin-honeywell-captuvo-sl62
156,oclc-copy-resource
157,ffmpeg-extract-frame
158,tualo-code39
159,cordova-plugin-cszbar-d
160,png-chunks-extract
161,raincatcher-barcode-angular
162,spectrum-barcode-scanner
163,jsbarcode
164,cordova-plugin-spectrum-barcode-scanner
165,react-native-scandit
166,@protacon/html-to-pdf
167,jsbarcode2
168,node-dmtx
169,node-barcode
170,barcode_scanner_56n
171,dbrjs
172,gs1-128-encoder
173,react-native-barcode-reader
174,markdown-summary
175,@zxing/library
176,cordova-plugin-cszbar-exj
177,react-native-barcode-scanner-ios
178,@barn/zxing
179,rnbarcode
180,barcode-scan
181,zebra-crossing
182,react-native-datawedge-intents
183,@tinyjs/tinyjs-plugin-extract
184,nativescript-barcodescanner
185,ch-codeworx-cordova-plugin-barcodescanner-emdk
186,react-native-camera-android
187,@neo9/cordova-honeywell-scanner
188,bark-js
189,epub-cover-extractor
190,webcodecamjs
191,cordova-plugin-barcode-nativeios
192,cordova-zebra-scanner
193,barcode-scanner-marco-maigua
194,oust
195,npmdoc-get-image-colors
196,symbology
197,electron-cimage
198,red-agate-barcode
199,sass-extract-loader
